"Site","Total Cobalt","Total Selenium","Total Antimony","Total Arsenic","Total Nickel","Total Rubidium","Total Zinc","Total Copper","Total Aluminum","Total Barium","Total Manganese","Total Iron","Total Strontium","Total Potassium","Total Magnesium","Total Sulphur","Total Calcium","Total Cadmium","Total Lead","Total Mercury","Total Silver","Total Thallium","Total Beryllium","Total Bismuth","Total Cerium","Total Cesium","Total Chromium","Total Europium","Total Gallium","Total Lanthanum","Total Molybdenum","Total Niobium","Total Scandium","Total Tellurium","Total Thorium","Total Tin","Total Titanium","Total Tungsten","Total Uranium","Total Vanadium","Total Yttrium","Total Zirconium","Total Boron","Total Lithium","Total Silicon"
"C08",0.2,0.2,0.8,1,1,3,3,4,26,35,142,160,215,3540,3660,4700,27000,0.01,0.05,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2.5,300
"C09",0.1,0.5,0.25,2,0.5,2,2,2,17,68,65,130,211,2990,4750,4400,28900,0.01,0.05,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2.5,680
"C100",0.3,0.25,0.25,0.5,2,3,4,7,924,22,9,760,274,3110,6010,5900,25300,0.11,0.3,0.05,0.05,0.05,0.25,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21,0.5,0.5,2,0.5,4,16,2.5,2200
"C101",0.3,0.7,0.25,2,1,2,2,3,145,36,56,248,709,6150,17300,19900,38200,0.01,0.2,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,3,0.5,1,1,0.5,0.5,13,2.5,300
"C104",0.2,0.7,0.25,2,0.5,3,2,3,61,38,45,130,453,5590,15900,16100,24900,0.01,0.1,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,1,0.5,0.5,6,2.5,850
"C106",0.5,0.8,0.9,1,3,4,30,11,554,34,191,1000,1200,3530,7670,7500,36200,0.06,1.8,0.05,0.05,0.05,0.25,0.5,0.5,0.5,2,0.5,1,0.5,2,0.5,0.5,0.5,0.5,0.5,15,0.5,0.5,2,0.5,0.5,72,11,1900
"C115",0.1,0.9,0.25,2,2,1,3,2,13,22,60,200,361,4240,9870,4900,26200,0.01,0.05,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30,2.5,1700
"C17",0.1,0.3,0.5,1,0.5,2,2,2,41,22,26,150,111,2010,4730,5000,17800,0.01,0.2,0.05,0.05,0.05,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2.5,300
"C45",0.5,2.5,2.5,5,5,5,29,20,648,75,111,900,382,1900,4760,9500,35200,0.1,1,0.5,0.5,0.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,5,5,5,5,5,67,25,3000
"C53",0.3,1.3,0.8,0.5,3,2,5,7,240,32,18,358,705,1920,7300,10300,30000,0.03,0.3,0.05,0.2,0.05,0.25,0.5,0.5,0.5,1,0.5,1,0.5,2,0.5,0.5,0.5,0.5,0.5,5,0.5,0.5,2,0.5,0.5,19,2.5,1100
