"Site","Type","Fucoxanthin","Neoxanthin","Violaxanthin","Diadinoxanthin","Myxoxanthophyll","Alloxanthin","Diatoxanthin","Lutein","Zeaxanthin","Lutein.Zeaxanthin","Canthaxanthin","Chlorophyll.b","Chlorophyll.a","Pheophytin.a"
"T57","Top",3.0984404,0,0.215553968,0.79134096,0,0.495976624,0.456391992,0.541421808,0,0,0.17663096,2.118825688,17.82870572,0.98157696
"T57B","Top",0.20658968,0,0.037462096,0.023381448,0,0.10009652,0.011440968,0,0.507355896,0,0.067078528,0.452908064,3.730681192,1.16942592
"T58","Top",1.89455508,0,0.151178048,0.37274088,0,0.33838356,0.204856008,0,0.302739912,0,0.039887232,1.35274468,12.72484791,4.49536672
"T53","Top",0.01033252,0,0,0,0,0.32818888,0,0.110493816,0,0,0,0,3.55908784,0.34857888
"T54","Top",1.86495408,0,0.100805152,0.806150784,0.32506848,0.329001552,0.32380488,0,0.622641024,0,0,0.974884288,14.37130856,5.54551296
"T55","Top",0,0.522065784,0.146850704,5.56315932,0,0.357546656,0,0,0.349145976,0,0,11.80550722,30.36867086,8.62286256
"T56","Top",1.5075764,0.09977436,0.1423156,0.916792848,0,0.33421136,0.2658768,0,0.455796024,0,0.090608496,1.445379152,10.8141978,2.38305808
"T105","Top",1.09630972,0,0,0.44598072,6.06141264,0.442354784,0.499800168,0,2.344116408,0,0.106415936,2.178109192,32.44909198,0.2171728
"T108","Top",0.27289592,0,0.073273984,0.077609952,0.89500224,0.205040048,0.033723648,0,4.895703552,0,0.185515616,1.470320432,15.05108024,0.7782944
"T109","Top",1.14036208,0.057541056,0.056949984,0.374332464,0,0.229812032,0.19899432,0.394832736,0,0,0.143054208,1.922205264,11.08010646,0.78689312
"T107","Top",2.69274984,0,0.187090848,0.522471168,0.24474624,0.221133856,0.277145568,0,0.742758528,0,0.074276224,3.474640064,22.17221294,2.43013056
"T106","Top",1.44904232,0.146016672,0,1.068816096,36.93608832,2.864828432,0.60070248,0,0.325561584,0,0.849728,1.36825304,67.05062235,0
"T06","Top",0.04981064,0,0,0.029194776,0.02992368,0.054470792,0.020312712,0,0.050971488,0,0,0.041664728,1.491096544,0.42651856
"T01","Top",0.26921224,0.029117328,0.053222176,0.120474816,0,0.044493792,0.07101528,0,0.249344064,0,0.019693696,1.19654192,4.276441232,0
"T76","Top",0.242374,0,0.018526256,0.073894008,0.09511296,0.059310544,0.064306368,0,0.127363344,0,0.025004496,0.654772552,3.141717656,0.30779008
"T15","Top",0.58823512,0.039063552,0.060867744,0.288589248,0,0.076507264,0,0,0.20669712,0,0.03261456,1.121526224,5.789646688,1.22741216
"C104","Top",1.01102848,0,0,0.3200028,27.2196864,2.050603648,0,0,0.319231008,0,1.259871712,0,78.2605628,1.08564352
"C101","Top",0.46722016,0.023124624,0,0.16833024,4.93596384,0,0.151701312,0,0.462393552,0,0.283884128,1.078742336,20.3114884,0
"C08","Top",0,0.091985232,0.040566624,0.366644304,0,0.43180456,0.157335696,0,0.379665672,0,0.169545728,2.96225664,10.82367059,2.08948896
"C98","Top",1.99094808,0,0.23144464,1.596311544,0,0.347700264,0.833496216,0,0.418695144,0,0,4.075117368,20.91503075,2.6529256
"C97","Top",0.27238992,0,0.010916304,0.062355024,0.06682608,0.051568392,0.043008672,0,0.234405648,0,0.010084272,0.29593788,2.411590608,0
"C09","Top",0.13470732,0,0.016608928,0.094152984,0.09265776,0.027478472,0,0.208611312,0,0,0.127009344,0.750828456,2.514381576,0.79449968
"C56","Top",0.0325358,0,0,0,0,0.01393152,0,0,0.238578816,0,0.01205864,0.066542056,1.330093464,0.44933824
"C17","Top",0,0,0.01534456,0.123489384,0.06518928,0.153798176,0,0,0.152402352,0,0.010271712,0.558492816,4.413856888,0.65736112
"C81","Top",0.03186788,0,0.008274784,0.091779096,0,0.079692648,0,0,0.180263424,0,0,0.149679656,2.48415804,0.61877712
"C84","Top",0.17070416,0.099170928,0.097849024,2.88039612,0,0.114216696,0.418604424,0,0.040761936,0,0.126609472,0,20.91564966,2.69437584
"C86","Top",0,0,0.20725544,10.66263492,0,0,0,0,0,0,0,0,114.9815573,27.2491232
"C45","Top",0.03444848,0,0,0.033949296,0,0.610679472,0,0,0.370006368,0,0,0.22191344,6.904375968,1.3813072
"C82","Top",0.05002316,0.008475792,0.004725056,0.086748072,0.01782624,0.140098848,0.063528024,0.06796428,0,0,0,0.555838808,2.329154968,0.26986752
"C83","Top",0.59251588,0.024851688,0.060268208,0.35807268,0.1208256,0.19932232,0.120285144,0,0.238039464,0,0.044373296,1.512336896,9.061146752,1.19037152
"C80","Top",0,0,0.036767584,0.305482968,0,0.130143616,0,0.059989992,0,0,0,0.412618304,4.409868344,1.05422512
"C76","Top",0,0,0,0.068370672,0,0.11689416,0,0.134648736,0,0,0.147602752,0.382880624,2.603625248,0.54634944
"C115","Top",0,0,0.165127648,0.955962,0,1.231111008,0,0.580688496,0,0,0,4.756621856,21.95521552,2.78995392
"T90","Top",0.9106988,0,0.181249824,1.70414136,0,0.86114208,0,0,0.719201376,0,0,2.35407312,23.61359022,0
